policy,Total Damage,Total Deaths,Total Investment,Total RfR,Total Evacuation
0,608425386.6655177,0.5116852954218656,158847680.63342473,0.0,0.0
1,621711142.8568206,0.5218253808569161,153331806.5963136,0.0,0.0
2,595643721.0519915,0.4996246949166838,162147239.91652158,0.0,0.0
3,625424094.3662252,0.5225909677755161,152210479.11922783,0.0,0.0
4,651587885.7625064,0.5370633647064623,141852808.38488826,0.0,0.0
5,638034435.9265977,0.5264094181171737,147368682.4219991,0.0,0.0
6,646636068.2212566,0.5387251175575901,148173608.69455516,0.0,0.0
7,664366556.2432557,0.5565564621302035,145281932.18989417,0.0,0.0
8,612086619.2209071,0.5123721511872852,157726353.15633813,0.0,0.0
9,668963033.1701744,0.5579676543637917,144160604.71280816,0.0,0.0
10,592932845.2343664,0.059814595866784705,163389027.58207893,0.0,12121.155408563292
11,605827155.2447455,0.510640331794008,160089468.29898122,0.0,0.0
12,770199958.9213792,0.6807617374520036,134608667.82740447,0.0,0.0
13,773451510.413166,0.680284666282758,133597387.91754909,0.0,0.0
14,1262221623.9535768,1.4257535856217598,43576003.546768285,0.0,0.0
15,971620292.0927491,0.9098073747159774,59423021.435905784,0.0,0.0
16,782092792.5426422,0.6681899665561118,93322051.71322735,30700000.0,0.0
17,1264452363.968404,1.4242509893922135,37255203.23710204,0.0,0.0
18,786694566.160246,0.6674056421647543,87001251.40356086,30700000.0,0.0
19,1223744024.9430041,1.0751797453223442,54862719.29296579,0.0,0.0
20,1693244531.2137833,0.22060716660804983,20299287.627320718,0.0,34446.24386598749
21,1857354654.2670565,1.7566697154713182,6320800.309666238,0.0,0.0
22,1264452363.968404,0.5127303561811969,37255203.23710204,0.0,23455.431588955493
23,1074576075.1213129,1.093188443939851,57554490.86442279,0.0,0.0
24,971620292.0927491,0.32753065489775196,59423021.435905784,0.0,16830.31560206992
25,1321987527.6099436,1.2479571397287956,52994188.72148259,0.0,0.0
26,970544012.1688302,0.9134633767758998,65743821.74557208,0.0,0.0
27,1074576075.1213129,0.39354783981834623,57554490.86442279,0.0,19067.108919142178
28,1654221309.5265234,0.21246880377887012,0.0,30700000.0,33157.76116057886
29,778632567.1175833,0.6684203901857376,94333331.62308294,30700000.0,0.0
30,1859122657.754076,1.7557898430280696,0.0,0.0,0.0
31,1601180377.9665453,1.3086721756607227,22167818.198803727,0.0,0.0
32,1223744024.9430041,0.38706470831604406,54862719.29296579,0.0,17625.348180246503
33,1499410340.90464,1.5535351059223759,32694901.094161976,0.0,0.0
34,1693244531.2137833,1.4707144440536644,20299287.627320718,0.0,0.0
35,1859122657.754076,0.2633684764542105,0.0,0.0,40783.689107832295
36,1264452363.968404,0.21363764840883204,37255203.23710204,0.0,38939.68134885191
37,1499410340.90464,0.5592726381320553,32694901.094161976,0.0,23861.74237322674
38,1859122657.754076,0.6320843434901051,0.0,0.0,24566.175086129562
39,1321987527.6099436,0.18719357095931938,52994188.72148259,0.0,32824.19870361978
40,1693244531.2137833,0.5294571998593193,20299287.627320718,0.0,20748.796305159525
41,1262221623.9535768,0.21386303784326402,43576003.546768285,0.0,38705.793367449165
42,1499410340.90464,0.23303026588835654,32694901.094161976,0.0,39614.22073680223
43,1321987527.6099436,0.4492645703023663,52994188.72148259,0.0,19771.75263088626
44,1601180377.9665453,0.19630082634910856,22167818.198803727,0.0,31089.382192106605
45,970544012.1688302,0.3288468156393239,65743821.74557208,0.0,16718.00073552347
46,1262221623.9535768,0.5132712908238336,43576003.546768285,0.0,23314.548475451713
47,1601180377.9665453,0.47112198323786036,22167818.198803727,0.0,18726.78080277481
48,1599717904.761733,1.3106570297444429,28488618.508470044,0.0,0.0
49,1654221309.5265234,1.416458691859134,0.0,30700000.0,0.0
50,1599717904.761733,0.19659855446166652,28488618.508470044,0.0,30924.65138630879
51,1857354654.2670565,0.2635004573206978,6320800.309666238,0.0,40617.72133923299
52,1857354654.2670565,0.6324010975696746,6320800.309666238,0.0,24466.20391257327
53,1599717904.761733,0.47183653070799964,28488618.508470044,0.0,18627.554717400115
54,1654221309.5265234,0.509925129069288,0.0,30700000.0,19972.674957901618
55,845432465.6397835,0.2817519901077452,92464801.05159968,30700000.0,12997.211043396368
56,845432465.6397835,0.7826444169659594,92464801.05159968,30700000.0,0.0
