policy,Total Damage,Total Deaths,Total Investment,Total RfR,Total Evacuation
0,1701361045.3215325,0.5242874773848577,20299287.627320718,0.0,20984.706443962885
1,1701361045.3215325,1.456354103846827,20299287.627320718,0.0,0.0
2,1816190341.0817728,1.6945142669814883,0.0,0.0,0.0
3,1630831773.2234616,1.3247870078627062,22167818.198803727,0.0,0.0
4,1595752136.8658152,1.2927335223262497,47205032.19880381,0.0,0.0
5,1816660025.4653459,1.6980268631126831,6320800.0,0.0,0.0
6,1816190341.0817728,0.6100251361133359,0.0,0.0,24014.823974977153
7,1595392411.2620893,1.2962008688278144,53525832.19880383,0.0,0.0
8,1549062934.751023,1.2304008696533315,45336501.62732072,30700000.0,0.0
9,1633575946.910388,1.3307248169828214,28488618.198803764,0.0,0.0
10,1667117712.402067,1.4250511968888528,45336501.62732072,0.0,0.0
11,1816660025.4653459,0.6112896707205658,6320800.0,0.0,23983.609371356863
12,1551102003.1810284,1.2361202413004768,51657301.62732067,30700000.0,0.0
13,1482886636.084743,1.1992784367429616,98885262.19880372,0.0,0.0
14,1515894759.823956,1.225739169133437,94311968.19880377,0.0,0.0
15,1508252697.8793876,1.2188012711807865,90023447.19880381,0.0,0.0
16,1476605415.0819654,1.1968142625686469,99896542.19880372,0.0,0.0
17,1457081334.1464455,0.14133714466504713,102669839.19880371,0.0,27996.02994121047
18,1463440744.0995145,1.1803454487636003,101658559.19880371,0.0,0.0
